Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Sin-APnd_001-Ex1-6G-lcwgs-1-2.clmp.fp2_repr.R1	Sin-APnd_001-Ex1-6G-lcwgs-1-2.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58725659.0	0.0	33-150	38.0	91.48500068862711	84.12327231610972	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Sin-APnd_001-Ex1-6G-lcwgs-1-2.clmp.fp2_repr.R2	Sin-APnd_001-Ex1-6G-lcwgs-1-2.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58725659.0	0.0	33-150	38.0	91.58284636476932	83.4111976674455	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Sin-APnd_002-Ex1-3G-lcwgs-1-2.clmp.fp2_repr.R1	Sin-APnd_002-Ex1-3G-lcwgs-1-2.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28273024.0	0.0	33-150	39.0	97.11088957406055	82.43207772893342	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
Sin-APnd_002-Ex1-3G-lcwgs-1-2.clmp.fp2_repr.R2	Sin-APnd_002-Ex1-3G-lcwgs-1-2.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28273024.0	0.0	33-150	39.0	97.3064953788013	81.90318488747437	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
Sin-APnd_003-Ex1-3H-lcwgs-1-2.clmp.fp2_repr.R1	Sin-APnd_003-Ex1-3H-lcwgs-1-2.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54619138.0	0.0	33-150	37.0	94.18307158894027	88.27074425817558	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Sin-APnd_003-Ex1-3H-lcwgs-1-2.clmp.fp2_repr.R2	Sin-APnd_003-Ex1-3H-lcwgs-1-2.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54619138.0	0.0	33-150	37.0	94.42009543090509	87.44557621909009	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Sin-APnd_004-Ex1-4A-lcwgs-1-2.clmp.fp2_repr.R1	Sin-APnd_004-Ex1-4A-lcwgs-1-2.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31877750.0	0.0	33-150	38.0	91.49568546624045	81.70113900761503	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
Sin-APnd_004-Ex1-4A-lcwgs-1-2.clmp.fp2_repr.R2	Sin-APnd_004-Ex1-4A-lcwgs-1-2.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31877750.0	0.0	33-150	38.0	91.93766329599036	81.08569660656728	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Sin-APnd_005-Ex1-4B-lcwgs-1-2.clmp.fp2_repr.R1	Sin-APnd_005-Ex1-4B-lcwgs-1-2.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48079393.0	0.0	33-150	39.0	95.55602038151369	80.04598102975218	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Sin-APnd_005-Ex1-4B-lcwgs-1-2.clmp.fp2_repr.R2	Sin-APnd_005-Ex1-4B-lcwgs-1-2.clmp.fp2_repr.R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48079393.0	0.0	33-150	39.0	95.64235912858655	79.52176590498969	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Sin-APnd_006-Ex1-4C-lcwgs-1-2.clmp.fp2_repr.R1	Sin-APnd_006-Ex1-4C-lcwgs-1-2.clmp.fp2_repr.R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35706356.0	0.0	33-150	39.0	93.43652154112496	84.24184478528136	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
