Sample	Passed Filter	Low Quality	Too Many N	Too Short	Too Long
Sin-APnd_001-Ex1-6G-lcwgs-1-1.clmp.r1r2_fastp	12664160.0	0.0	0.0	404610.0	0.0
Sin-APnd_002-Ex1-3G-lcwgs-1-1.clmp.r1r2_fastp	73730286.0	0.0	0.0	1901414.0	0.0
Sin-APnd_003-Ex1-3H-lcwgs-1-1.clmp.r1r2_fastp	4846562.0	0.0	0.0	112544.0	0.0
Sin-APnd_004-Ex1-4A-lcwgs-1-1.clmp.r1r2_fastp	32449130.0	0.0	0.0	1213972.0	0.0
Sin-APnd_005-Ex1-4B-lcwgs-1-1.clmp.r1r2_fastp	46275978.0	0.0	0.0	1497212.0	0.0
Sin-APnd_006-Ex1-4C-lcwgs-1-1.clmp.r1r2_fastp	65136536.0	0.0	0.0	2357032.0	0.0
Sin-APnd_007-Ex1-4D-lcwgs-1-1.clmp.r1r2_fastp	45069542.0	0.0	0.0	1357874.0	0.0
Sin-APnd_008-Ex1-4E-lcwgs-1-1.clmp.r1r2_fastp	27401704.0	0.0	0.0	946172.0	0.0
Sin-APnd_009-Ex1-4F-lcwgs-1-1.clmp.r1r2_fastp	28918964.0	0.0	0.0	904428.0	0.0
Sin-APnd_010-Ex1-4G-lcwgs-1-1.clmp.r1r2_fastp	39439110.0	0.0	0.0	1270074.0	0.0
Sin-APnd_011-Ex1-4H-lcwgs-1-1.clmp.r1r2_fastp	26431030.0	0.0	0.0	823890.0	0.0
Sin-APnd_012-Ex1-5A-lcwgs-1-1.clmp.r1r2_fastp	4934800.0	0.0	0.0	156016.0	0.0
Sin-APnd_013-Ex1-5B-lcwgs-1-1.clmp.r1r2_fastp	40893900.0	0.0	0.0	1350730.0	0.0
Sin-APnd_014-Ex1-5C-lcwgs-1-1.clmp.r1r2_fastp	27910054.0	0.0	0.0	861756.0	0.0
Sin-APnd_015-Ex1-5D-lcwgs-1-1.clmp.r1r2_fastp	18653058.0	0.0	0.0	561952.0	0.0
