"Era","theta_n","theta_mean","theta_median","theta_sd","theta_se","depth_mean","depth_median","depth_sd","depth_se"
"Albatross - ATLAS GERP recalibration",25,0.0171441363210967,0.0172731442068975,0.000856576743966403,0.000171315348793281,4.91111506683289,4.68716557255713,1.37385556922337,0.274771113844675
"Contemporary - ATLAS GERP recalibration",45,0.0374289563710298,0.0209054118630369,0.0460315698397169,0.0068619812848424,0.169940975962871,0.120461569026978,0.161313657857434,0.0240472203112243
