Sample	Unique Reads	Duplicate Reads
Sin-APnd_001-Ex1-6G-lcwgs-1-1.1	7069994.0	2580433.0
Sin-APnd_001-Ex1-6G-lcwgs-1-1.2	7014033.0	2636394.0
Sin-APnd_002-Ex1-3G-lcwgs-1-1.1	42167983.0	15459996.0
Sin-APnd_002-Ex1-3G-lcwgs-1-1.2	42282607.0	15345372.0
Sin-APnd_003-Ex1-3H-lcwgs-1-1.1	2648385.0	661370.0
Sin-APnd_003-Ex1-3H-lcwgs-1-1.2	2635916.0	673839.0
Sin-APnd_004-Ex1-4A-lcwgs-1-1.1	17621702.0	15429371.0
Sin-APnd_004-Ex1-4A-lcwgs-1-1.2	18057619.0	14993454.0
Sin-APnd_005-Ex1-4B-lcwgs-1-1.1	26300116.0	24637180.0
Sin-APnd_005-Ex1-4B-lcwgs-1-1.2	26730266.0	24207030.0
Sin-APnd_006-Ex1-4C-lcwgs-1-1.1	37144801.0	25621930.0
Sin-APnd_006-Ex1-4C-lcwgs-1-1.2	37807931.0	24958800.0
Sin-APnd_007-Ex1-4D-lcwgs-1-1.1	25654919.0	10732361.0
Sin-APnd_007-Ex1-4D-lcwgs-1-1.2	25622262.0	10765018.0
Sin-APnd_008-Ex1-4E-lcwgs-1-1.1	15288499.0	8980245.0
Sin-APnd_008-Ex1-4E-lcwgs-1-1.2	15344891.0	8923853.0
Sin-APnd_009-Ex1-4F-lcwgs-1-1.1	16360772.0	6326619.0
Sin-APnd_009-Ex1-4F-lcwgs-1-1.2	16308577.0	6378814.0
Sin-APnd_010-Ex1-4G-lcwgs-1-1.1	21832527.0	12560387.0
Sin-APnd_010-Ex1-4G-lcwgs-1-1.2	21970992.0	12421922.0
Sin-APnd_011-Ex1-4H-lcwgs-1-1.1	14883897.0	7321098.0
Sin-APnd_011-Ex1-4H-lcwgs-1-1.2	14889799.0	7315196.0
Sin-APnd_012-Ex1-5A-lcwgs-1-1.1	2771504.0	1057536.0
Sin-APnd_012-Ex1-5A-lcwgs-1-1.2	2761806.0	1067234.0
Sin-APnd_013-Ex1-5B-lcwgs-1-1.1	23043872.0	13664743.0
Sin-APnd_013-Ex1-5B-lcwgs-1-1.2	23245077.0	13463538.0
Sin-APnd_014-Ex1-5C-lcwgs-1-1.1	15705953.0	8500182.0
Sin-APnd_014-Ex1-5C-lcwgs-1-1.2	15787300.0	8418835.0
