#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	185707	181722	97.85	125	0.07	34	0.02	354	0.19	3472	1.87
Ecoli	185707	185705	100.00	0	0.00	0	0.00	0	0.00	2	0.00
PhiX	185707	185707	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	185707	185706	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	185707	185171	99.71	0	0.00	0	0.00	12	0.01	524	0.28
Bacteria_24k	185707	182811	98.45	186	0.10	303	0.16	175	0.09	2232	1.20
Protists_1k	185707	179920	96.88	462	0.25	719	0.39	233	0.13	4373	2.35
Viruses	185707	183434	98.78	3	0.00	20	0.01	210	0.11	2040	1.10
Fungi_RefSeq_release	185707	181738	97.86	108	0.06	35	0.02	385	0.21	3441	1.85
Coral	185707	183427	98.78	5	0.00	6	0.00	228	0.12	2041	1.10
Bird	185707	182741	98.41	59	0.03	7	0.00	444	0.24	2456	1.32
Plant	185707	183278	98.70	27	0.01	4	0.00	210	0.11	2188	1.18

%Hit_no_genomes: 96.31
