#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	9587	9318	97.20	4	0.04	4	0.04	18	0.19	243	2.53
Ecoli	9587	9587	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	9587	9587	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	9587	9587	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	9587	9518	99.28	0	0.00	0	0.00	2	0.02	67	0.70
Bacteria_24k	9587	9005	93.92	138	1.44	156	1.63	15	0.16	273	2.85
Protists_1k	9587	9130	95.22	22	0.23	35	0.37	60	0.63	340	3.55
Viruses	9587	9406	98.12	0	0.00	0	0.00	9	0.09	172	1.79
Fungi_RefSeq_release	9587	9306	97.07	7	0.07	1	0.01	29	0.30	244	2.55
Coral	9587	9408	98.14	0	0.00	0	0.00	7	0.07	172	1.79
Bird	9587	9369	97.73	3	0.03	2	0.02	19	0.20	194	2.02
Plant	9587	9387	97.91	2	0.02	0	0.00	14	0.15	184	1.92

%Hit_no_genomes: 91.84
