#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	125629	122631	97.62	100	0.08	40	0.03	229	0.18	2629	2.09
Ecoli	125629	125625	100.00	0	0.00	0	0.00	0	0.00	4	0.00
PhiX	125629	125629	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	125629	125629	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	125629	125370	99.80	0	0.00	0	0.00	3	0.00	256	0.20
Bacteria_24k	125629	123215	98.07	223	0.18	334	0.27	160	0.13	1697	1.35
Protists_1k	125629	121155	96.44	375	0.30	557	0.44	193	0.15	3349	2.67
Viruses	125629	123988	98.69	1	0.00	22	0.02	158	0.13	1460	1.16
Fungi_RefSeq_release	125629	122615	97.60	66	0.05	15	0.01	308	0.25	2625	2.09
Coral	125629	123917	98.65	6	0.00	5	0.00	153	0.12	1548	1.23
Bird	125629	123312	98.16	55	0.04	10	0.01	319	0.25	1933	1.54
Plant	125629	123846	98.58	12	0.01	3	0.00	175	0.14	1593	1.27

%Hit_no_genomes: 95.66
