#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	30461063	29752119	97.66	23686	0.08	5357	0.02	71729	0.24	608172	2.00
Ecoli	30461063	30460840	100.00	0	0.00	0	0.00	54	0.00	169	0.00
PhiX	30461063	30461063	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	30461063	30460373	100.00	0	0.00	0	0.00	8	0.00	682	0.00
Vectors	30461063	30340393	99.60	12	0.00	1	0.00	3309	0.01	117348	0.39
Bacteria_24k	30461063	29881235	98.10	65131	0.21	80156	0.26	39422	0.13	395119	1.30
Protists_1k	30461063	29387006	96.47	104216	0.34	137005	0.45	56913	0.19	775923	2.55
Viruses	30461063	30092325	98.80	730	0.00	229	0.00	28921	0.09	338858	1.11
Fungi_RefSeq_release	30461063	29741796	97.64	18962	0.06	4634	0.02	80206	0.26	615465	2.02
Coral	30461063	30036745	98.61	1988	0.01	668	0.00	45668	0.15	375994	1.23
Bird	30461063	29907838	98.19	10143	0.03	1447	0.00	71837	0.24	469798	1.54
Plant	30461063	29996617	98.48	4246	0.01	604	0.00	47757	0.16	411839	1.35

%Hit_no_genomes: 95.67
