#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	20027	19577	97.76	12	0.06	5	0.02	29	0.14	404	2.02
Ecoli	20027	20026	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	20027	20027	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	20027	20027	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	20027	19930	99.52	0	0.00	0	0.00	1	0.00	96	0.48
Bacteria_24k	20027	18953	94.64	276	1.38	311	1.55	35	0.17	452	2.26
Protists_1k	20027	19217	95.95	60	0.30	58	0.29	112	0.56	580	2.90
Viruses	20027	19749	98.62	0	0.00	3	0.01	17	0.08	258	1.29
Fungi_RefSeq_release	20027	19577	97.76	9	0.04	6	0.03	53	0.26	382	1.91
Coral	20027	19739	98.56	0	0.00	0	0.00	30	0.15	258	1.29
Bird	20027	19693	98.34	4	0.02	1	0.00	39	0.19	290	1.45
Plant	20027	19721	98.48	1	0.00	0	0.00	26	0.13	279	1.39

%Hit_no_genomes: 92.74
