#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	4414	4336	98.23	6	0.14	1	0.02	2	0.05	69	1.56
Ecoli	4414	4412	99.96	0	0.00	0	0.00	1	0.02	1	0.02
PhiX	4414	4414	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	4414	4414	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	4414	4400	99.69	0	0.00	0	0.00	1	0.02	13	0.29
Bacteria_24k	4414	3444	78.02	345	7.82	347	7.86	20	0.45	258	5.85
Protists_1k	4414	4080	92.42	17	0.39	10	0.23	115	2.61	192	4.35
Viruses	4414	4366	98.91	0	0.00	3	0.07	6	0.14	39	0.88
Fungi_RefSeq_release	4414	4336	98.24	1	0.02	0	0.00	12	0.27	65	1.47
Coral	4414	4372	99.05	0	0.00	0	0.00	0	0.00	42	0.95
Bird	4414	4358	98.73	0	0.00	0	0.00	7	0.16	49	1.11
Plant	4414	4371	99.02	0	0.00	0	0.00	3	0.07	40	0.91

%Hit_no_genomes: 76.44
