#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	149740	146319	97.71	117	0.08	28	0.02	314	0.21	2962	1.98
Ecoli	149740	149738	100.00	0	0.00	0	0.00	0	0.00	2	0.00
PhiX	149740	149740	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	149740	149738	100.00	0	0.00	0	0.00	1	0.00	1	0.00
Vectors	149740	149395	99.77	0	0.00	0	0.00	10	0.01	335	0.22
Bacteria_24k	149740	147079	98.22	255	0.17	352	0.24	184	0.12	1870	1.25
Protists_1k	149740	144593	96.57	437	0.29	627	0.42	229	0.15	3854	2.57
Viruses	149740	147918	98.78	3	0.00	15	0.01	189	0.13	1615	1.08
Fungi_RefSeq_release	149740	146293	97.70	55	0.04	26	0.02	351	0.23	3015	2.01
Coral	149740	147878	98.76	5	0.00	3	0.00	193	0.13	1661	1.11
Bird	149740	147173	98.27	55	0.04	8	0.01	413	0.28	2091	1.40
Plant	149740	147763	98.68	15	0.01	3	0.00	205	0.14	1754	1.17

%Hit_no_genomes: 95.86
