#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	186054	181639	97.63	148	0.08	44	0.02	380	0.20	3843	2.07
Ecoli	186054	186053	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	186054	186054	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	186054	186054	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	186054	185349	99.62	0	0.00	0	0.00	13	0.01	692	0.37
Bacteria_24k	186054	182657	98.17	307	0.17	437	0.23	215	0.12	2438	1.31
Protists_1k	186054	179685	96.58	506	0.27	805	0.43	257	0.14	4801	2.58
Viruses	186054	183615	98.69	2	0.00	18	0.01	190	0.10	2229	1.20
Fungi_RefSeq_release	186054	181715	97.66	103	0.06	30	0.02	400	0.21	3806	2.05
Coral	186054	183516	98.64	11	0.01	5	0.00	243	0.13	2279	1.22
Bird	186054	182743	98.22	57	0.03	15	0.01	451	0.24	2788	1.50
Plant	186054	183308	98.52	12	0.01	1	0.00	245	0.13	2488	1.34

%Hit_no_genomes: 95.86
