#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	35678341	34292485	96.11	30792	0.09	7413	0.02	103098	0.29	1244553	3.49
Ecoli	35678341	35677803	100.00	0	0.00	0	0.00	124	0.00	414	0.00
PhiX	35678341	35678341	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	35678341	35678140	100.00	0	0.00	0	0.00	25	0.00	176	0.00
Vectors	35678341	35428177	99.30	16	0.00	14	0.00	3708	0.01	246426	0.69
Bacteria_24k	35678341	34295631	96.13	171619	0.48	218484	0.61	68793	0.19	923814	2.59
Protists_1k	35678341	33670794	94.37	139863	0.39	198584	0.56	110595	0.31	1558505	4.37
Viruses	35678341	34848674	97.68	955	0.00	355	0.00	46379	0.13	781978	2.19
Fungi_RefSeq_release	35678341	34233132	95.95	24279	0.07	6366	0.02	118193	0.33	1296371	3.63
Coral	35678341	34769594	97.45	2006	0.01	680	0.00	68853	0.19	837208	2.35
Bird	35678341	34543221	96.82	11182	0.03	1894	0.01	107992	0.30	1014052	2.84
Plant	35678341	34668814	97.16	5408	0.02	702	0.00	76986	0.22	926431	2.60

%Hit_no_genomes: 92.94
