#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	165458	162136	97.99	115	0.07	35	0.02	265	0.16	2907	1.76
Ecoli	165458	165458	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	165458	165458	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	165458	165457	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	165458	165096	99.78	0	0.00	0	0.00	11	0.01	351	0.21
Bacteria_24k	165458	162842	98.42	221	0.13	359	0.22	168	0.10	1868	1.13
Protists_1k	165458	160457	96.98	452	0.27	662	0.40	229	0.14	3658	2.21
Viruses	165458	163660	98.91	4	0.00	10	0.01	180	0.11	1604	0.97
Fungi_RefSeq_release	165458	162114	97.98	89	0.05	34	0.02	350	0.21	2871	1.74
Coral	165458	163616	98.89	8	0.00	4	0.00	164	0.10	1666	1.01
Bird	165458	162956	98.49	54	0.03	15	0.01	360	0.22	2073	1.25
Plant	165458	163505	98.83	19	0.01	4	0.00	186	0.11	1744	1.05

%Hit_no_genomes: 96.32
