#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	33014382	32170497	97.45	30454	0.09	7066	0.02	78968	0.24	727397	2.20
Ecoli	33014382	33013768	100.00	0	0.00	0	0.00	150	0.00	464	0.00
PhiX	33014382	33014382	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	33014382	33013856	100.00	0	0.00	0	0.00	128	0.00	398	0.00
Vectors	33014382	32869120	99.56	14	0.00	3	0.00	3756	0.01	141489	0.43
Bacteria_24k	33014382	31983049	96.87	167527	0.51	260499	0.79	51249	0.16	552058	1.67
Protists_1k	33014382	31689401	95.98	117585	0.36	150579	0.46	102025	0.31	954792	2.89
Viruses	33014382	32559554	98.63	898	0.00	326	0.00	32690	0.10	420914	1.27
Fungi_RefSeq_release	33014382	32150519	97.38	21520	0.07	5089	0.02	89787	0.27	747467	2.26
Coral	33014382	32498927	98.44	1981	0.01	623	0.00	49758	0.15	463093	1.40
Bird	33014382	32345863	97.97	10392	0.03	1673	0.01	77731	0.24	578723	1.75
Plant	33014382	32452634	98.31	4667	0.01	676	0.00	53476	0.16	502929	1.52

%Hit_no_genomes: 94.35
