#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	186054	181667	97.64	148	0.08	37	0.02	374	0.20	3828	2.06
Ecoli	186054	186051	100.00	0	0.00	0	0.00	0	0.00	3	0.00
PhiX	186054	186054	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	186054	186052	100.00	0	0.00	0	0.00	0	0.00	2	0.00
Vectors	186054	185380	99.63	0	0.00	0	0.00	12	0.01	662	0.36
Bacteria_24k	186054	182638	98.17	337	0.18	425	0.23	246	0.13	2408	1.29
Protists_1k	186054	179783	96.63	523	0.28	763	0.41	279	0.15	4706	2.53
Viruses	186054	183649	98.71	5	0.00	21	0.01	199	0.11	2180	1.17
Fungi_RefSeq_release	186054	181746	97.69	102	0.05	27	0.01	423	0.23	3756	2.02
Coral	186054	183562	98.66	11	0.01	7	0.00	236	0.13	2238	1.20
Bird	186054	182759	98.23	73	0.04	12	0.01	466	0.25	2744	1.47
Plant	186054	183363	98.55	17	0.01	4	0.00	259	0.14	2411	1.30

%Hit_no_genomes: 95.88
