#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	49285509	47737462	96.86	47516	0.10	11261	0.02	141749	0.29	1347521	2.73
Ecoli	49285509	49284902	100.00	0	0.00	0	0.00	129	0.00	478	0.00
PhiX	49285509	49285509	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	49285509	49284517	100.00	1	0.00	0	0.00	230	0.00	761	0.00
Vectors	49285509	49043971	99.51	25	0.00	6	0.00	5706	0.01	235801	0.48
Bacteria_24k	49285509	47974326	97.34	142538	0.29	189164	0.38	82798	0.17	896683	1.82
Protists_1k	49285509	46952734	95.27	199027	0.40	280512	0.57	118779	0.24	1734457	3.52
Viruses	49285509	48463973	98.34	1278	0.00	420	0.00	59871	0.12	759967	1.54
Fungi_RefSeq_release	49285509	47678932	96.74	35522	0.07	9327	0.02	163489	0.33	1398239	2.84
Coral	49285509	48350282	98.10	3400	0.01	1070	0.00	90093	0.18	840664	1.71
Bird	49285509	48058889	97.50	17890	0.04	3069	0.01	142915	0.29	1062746	2.16
Plant	49285509	48252310	97.90	7905	0.02	1225	0.00	99311	0.20	924758	1.88

%Hit_no_genomes: 94.22
