Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
Sin-APnd_001-Ex1-6G-lcwgs-1-2	79.49134391584572	14.66043312213573	4.190273270803898	1.2049920805388898	0.3362223469984901	0.08744816605829255	0.021635270826170973	0.005137141931328267	0.001419000743268997	0.0003053545903237082	0.0001436962777993921	0.00011675322571200609	9.879119098708206e-05	6.286712153723405e-05	2.6943052087386016e-05	1.796203472492401e-05	2.6943052087386016e-05	4.490508681231003e-05	1.796203472492401e-05	1.796203472492401e-05	2.6943052087386016e-05	0.0	8.981017362462006e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.796203472492401e-05	0.00016165831252431612
Sin-APnd_002-Ex1-3G-lcwgs-1-2	94.06960110917959	5.508363506770564	0.3873959639184489	0.030240763606772674	0.002883813078642144	0.0005273899404520653	0.00017953700100495836	0.00015709487587933855	0.00013465275075371877	5.6105312814049483e-05	5.6105312814049483e-05	1.1221062562809898e-05	2.2442125125619795e-05	7.854743793966928e-05	3.366318768842969e-05	2.2442125125619795e-05	3.366318768842969e-05	2.2442125125619795e-05	1.1221062562809898e-05	2.2442125125619795e-05	0.0	0.0	0.0	3.366318768842969e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00011221062562809897
Sin-APnd_003-Ex1-3H-lcwgs-1-2	81.86591139343258	13.957688305401184	3.162016479854789	0.7684539907000539	0.18639654300148548	0.045644019524866096	0.010077964969360238	0.0024278733789822394	0.0007146193341909987	0.00010994143602938442	0.00013742679503673052	2.7485359007346104e-05	4.5808931678910174e-05	1.832357267156407e-05	2.7485359007346104e-05	4.5808931678910174e-05	3.664714534312814e-05	9.161786335782035e-06	0.0	0.0	0.0	1.832357267156407e-05	1.832357267156407e-05	1.832357267156407e-05	0.0	9.161786335782035e-06	0.0	0.0	9.161786335782035e-06	9.161786335782035e-06	0.00012826500870094848
Sin-APnd_004-Ex1-4A-lcwgs-1-2	86.33404427515599	11.262585035594538	1.9759573458146131	0.35277897688286775	0.06001658154150236	0.01063217272226034	0.0018126983001886486	0.0007901505411078724	0.0002672568006688392	0.00015105819168238736	6.97191653918711e-05	5.809930449322591e-05	9.295888718916145e-05	8.133902629051627e-05	1.1619860898645181e-05	5.809930449322591e-05	4.6479443594580725e-05	4.6479443594580725e-05	4.6479443594580725e-05	1.1619860898645181e-05	1.1619860898645181e-05	4.6479443594580725e-05	2.3239721797290363e-05	2.3239721797290363e-05	1.1619860898645181e-05	1.1619860898645181e-05	3.485958269593555e-05	0.0	2.3239721797290363e-05	1.1619860898645181e-05	0.00024401707887154882
Sin-APnd_005-Ex1-4B-lcwgs-1-2	88.55440632166427	9.902686478728025	1.3396154719418683	0.17520769799943922	0.022804667500418856	0.0033472244660519325	0.0007075433830678882	0.0002449188633696536	0.00015420817323274485	0.0001360660352053631	6.349748309583611e-05	3.6284276054763494e-05	3.6284276054763494e-05	5.442641408214524e-05	1.8142138027381747e-05	2.721320704107262e-05	2.721320704107262e-05	1.8142138027381747e-05	3.6284276054763494e-05	1.8142138027381747e-05	3.6284276054763494e-05	9.071069013690874e-06	9.071069013690874e-06	0.0	9.071069013690874e-06	0.0	1.8142138027381747e-05	2.721320704107262e-05	1.8142138027381747e-05	1.8142138027381747e-05	0.00020863458731489008
Sin-APnd_006-Ex1-4C-lcwgs-1-2	73.43054456418565	15.674153731253949	6.053042044138672	2.651853671377589	1.207820668341106	0.5525048966682359	0.24510783647106021	0.10767802964324999	0.044995291286778344	0.019012970035103577	0.007953137792461627	0.003023849264842181	0.001294456020908468	0.00041422592669070974	0.00017604601884355163	0.00013462342617448066	4.142259266907097e-05	4.142259266907097e-05	3.106694450180323e-05	1.0355648167267742e-05	0.0	1.0355648167267742e-05	0.0	1.0355648167267742e-05	2.0711296334535485e-05	0.0	1.0355648167267742e-05	0.0	0.0	1.0355648167267742e-05	0.00010355648167267743
Sin-APnd_007-Ex1-4D-lcwgs-1-2	90.55120854265397	8.43491686060952	0.9054779253639057	0.09526424383551152	0.010021597625767358	0.0013880601819579543	0.0003543983443296905	0.0003051763520616779	0.0002165767659792553	0.00011813278144323017	5.906639072161508e-05	2.953319536080754e-05	3.937759381441005e-05	1.9688796907205025e-05	2.953319536080754e-05	5.906639072161508e-05	9.844398453602513e-06	5.906639072161508e-05	1.9688796907205025e-05	9.844398453602513e-06	3.937759381441005e-05	9.844398453602513e-06	1.9688796907205025e-05	1.9688796907205025e-05	0.0	1.9688796907205025e-05	1.9688796907205025e-05	0.0	0.0	9.844398453602513e-06	0.00025595435979366537
Sin-APnd_008-Ex1-4E-lcwgs-1-2	79.69588431634962	14.598897093968072	4.103893827868591	1.162512347449256	0.3241105853487557	0.08541646751425931	0.02160803619794156	0.005108259248637797	0.0013243635089060957	0.0004182200554440302	0.00014936430551572508	8.961858330943504e-05	9.957620367715005e-05	3.983048147086002e-05	1.991524073543001e-05	4.9788101838575026e-05	1.991524073543001e-05	1.991524073543001e-05	9.957620367715004e-06	9.957620367715004e-06	0.0	1.991524073543001e-05	2.9872861103145015e-05	4.9788101838575026e-05	0.0	9.957620367715004e-06	1.991524073543001e-05	9.957620367715004e-06	0.0	9.957620367715004e-06	0.00016927954625115508
Sin-APnd_009-Ex1-4F-lcwgs-1-2	87.09528505780892	10.648863566637862	1.8548619593785647	0.3289203149639501	0.058265884365042576	0.010630863694526456	0.001720429765344319	0.00045745531332854725	0.0002685063795624082	7.955744579626909e-05	0.00010939148796987	9.944680724533636e-06	6.961276507173545e-05	2.983404217360091e-05	4.972340362266819e-05	3.9778722898134546e-05	9.944680724533636e-06	2.983404217360091e-05	9.944680724533636e-06	1.9889361449067273e-05	1.9889361449067273e-05	2.983404217360091e-05	9.944680724533636e-06	9.944680724533636e-06	0.0	2.983404217360091e-05	9.944680724533636e-06	9.944680724533636e-06	9.944680724533636e-06	9.944680724533636e-06	0.00012928084941893727
Sin-APnd_010-Ex1-4G-lcwgs-1-2	88.33322461690003	9.748679770792307	1.5942621653688884	0.2690345749135994	0.04458017058573327	0.007391430880664867	0.0013412648726010658	0.0004921187662061464	0.00019298775145339076	0.00010614326329936491	9.649387572669538e-05	4.824693786334769e-05	5.789632543601723e-05	2.8948162718008614e-05	7.71951005813563e-05	3.859755029067815e-05	9.649387572669537e-06	1.9298775145339074e-05	1.9298775145339074e-05	1.9298775145339074e-05	0.0	9.649387572669537e-06	9.649387572669537e-06	9.649387572669537e-06	9.649387572669537e-06	9.649387572669537e-06	0.0	9.649387572669537e-06	9.649387572669537e-06	0.0	0.00021228652659872983
