Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Sin-APnd_001-Ex1-6G-lcwgs-1-2.clmp.fp2_r1_screen	564476.0	422827.0	81059.0	53155.0	25217.0	10892.0	5468.0	2142.0	41.0	3.0	0.0	2182961.0	59352888.0
Sin-APnd_001-Ex1-6G-lcwgs-1-2.clmp.fp2_r2_screen	566468.0	420963.0	80803.0	53469.0	24582.0	10649.0	5387.0	2123.0	51.0	0.0	1.0	2215095.0	59321538.0
Sin-APnd_002-Ex1-3G-lcwgs-1-2.clmp.fp2_r1_screen	225092.0	139801.0	34312.0	22185.0	10604.0	4435.0	2250.0	862.0	18.0	0.0	0.0	776569.0	28518048.0
Sin-APnd_002-Ex1-3G-lcwgs-1-2.clmp.fp2_r2_screen	226230.0	139507.0	34210.0	22172.0	10645.0	4410.0	2306.0	887.0	15.0	0.0	0.0	781693.0	28512101.0
Sin-APnd_003-Ex1-3H-lcwgs-1-2.clmp.fp2_r1_screen	475409.0	407238.0	82763.0	47154.0	23474.0	10287.0	5725.0	1910.0	27.0	0.0	0.0	1733329.0	55161023.0
Sin-APnd_003-Ex1-3H-lcwgs-1-2.clmp.fp2_r2_screen	476793.0	405687.0	82714.0	47035.0	23319.0	10374.0	5603.0	1795.0	45.0	1.0	0.0	1739744.0	55155229.0
Sin-APnd_004-Ex1-4A-lcwgs-1-2.clmp.fp2_r1_screen	361169.0	427306.0	70623.0	34034.0	13413.0	6704.0	2931.0	1435.0	17.0	0.0	0.0	1679159.0	32259454.0
Sin-APnd_004-Ex1-4A-lcwgs-1-2.clmp.fp2_r2_screen	362708.0	425908.0	70859.0	34062.0	13350.0	6761.0	2965.0	1502.0	32.0	0.0	0.0	1685615.0	32252483.0
Sin-APnd_005-Ex1-4B-lcwgs-1-2.clmp.fp2_r1_screen	416242.0	310311.0	74463.0	40024.0	18342.0	7433.0	3959.0	1896.0	31.0	0.0	0.0	1665756.0	48537134.0
Sin-APnd_005-Ex1-4B-lcwgs-1-2.clmp.fp2_r2_screen	415680.0	309269.0	73992.0	40337.0	18398.0	7550.0	3984.0	1849.0	35.0	0.0	0.0	1682686.0	48521811.0
Sin-APnd_006-Ex1-4C-lcwgs-1-2.clmp.fp2_r1_screen	314018.0	353298.0	73861.0	32876.0	14729.0	5606.0	2997.0	1258.0	15.0	0.0	0.0	1207244.0	36056754.0
Sin-APnd_006-Ex1-4C-lcwgs-1-2.clmp.fp2_r2_screen	315054.0	351063.0	73808.0	33065.0	14324.0	5630.0	2912.0	1262.0	25.0	0.0	0.0	1212566.0	36052947.0
Sin-APnd_007-Ex1-4D-lcwgs-1-2.clmp.fp2_r1_screen	505617.0	252034.0	58781.0	45352.0	22510.0	8760.0	4742.0	1548.0	33.0	0.0	0.0	1874637.0	43001792.0
Sin-APnd_007-Ex1-4D-lcwgs-1-2.clmp.fp2_r2_screen	506018.0	251253.0	58328.0	45469.0	22277.0	8614.0	4485.0	1580.0	28.0	0.0	0.0	1885118.0	42992636.0
Sin-APnd_008-Ex1-4E-lcwgs-1-2.clmp.fp2_r1_screen	511873.0	753195.0	88029.0	49835.0	22809.0	9254.0	4618.0	2159.0	92.0	0.0	0.0	2275090.0	42171365.0
Sin-APnd_008-Ex1-4E-lcwgs-1-2.clmp.fp2_r2_screen	513903.0	750589.0	87959.0	49870.0	22544.0	9143.0	4529.0	2152.0	81.0	0.0	0.0	2294540.0	42153009.0
Sin-APnd_009-Ex1-4F-lcwgs-1-2.clmp.fp2_r1_screen	349665.0	287833.0	43843.0	31850.0	15636.0	6080.0	3015.0	1317.0	17.0	0.0	0.0	1352501.0	37301019.0
Sin-APnd_009-Ex1-4F-lcwgs-1-2.clmp.fp2_r2_screen	349936.0	287469.0	43471.0	32367.0	15422.0	6128.0	2976.0	1264.0	33.0	0.0	0.0	1360569.0	37293141.0
Sin-APnd_010-Ex1-4G-lcwgs-1-2.clmp.fp2_r1_screen	479539.0	331702.0	58777.0	44849.0	20959.0	9130.0	4470.0	1698.0	31.0	1.0	0.0	1897547.0	46436806.0
Sin-APnd_010-Ex1-4G-lcwgs-1-2.clmp.fp2_r2_screen	481367.0	331698.0	58984.0	44516.0	20860.0	8939.0	4391.0	1746.0	32.0	0.0	0.0	1915884.0	46417092.0
Sin-APnd_011-Ex1-4H-lcwgs-1-2.clmp.fp2_r1_screen	536270.0	483632.0	81203.0	52282.0	24964.0	10054.0	4809.0	2310.0	45.0	0.0	0.0	2260377.0	51226732.0
Sin-APnd_011-Ex1-4H-lcwgs-1-2.clmp.fp2_r2_screen	538783.0	481216.0	80518.0	52469.0	24293.0	10252.0	4834.0	2191.0	36.0	0.0	0.0	2288695.0	51199391.0
