Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sin-APnd_001-Ex1-6G-lcwgs-1-1.clmp.fp2_r1_screen	56988.0	37310.0	7471.0	5257.0	2553.0	1120.0	533.0	232.0	1.0	1.0	200706.0	6019908.0
Sin-APnd_001-Ex1-6G-lcwgs-1-1.clmp.fp2_r2_screen	56936.0	36823.0	7482.0	5304.0	2498.0	1095.0	516.0	232.0	8.0	0.0	217741.0	6003445.0
Sin-APnd_002-Ex1-3G-lcwgs-1-1.clmp.fp2_r1_screen	277534.0	148930.0	41290.0	27119.0	12927.0	5660.0	2862.0	1039.0	21.0	0.0	935105.0	35412656.0
Sin-APnd_002-Ex1-3G-lcwgs-1-1.clmp.fp2_r2_screen	278858.0	147851.0	41223.0	27108.0	12890.0	5555.0	2927.0	981.0	20.0	0.0	994058.0	35353672.0
Sin-APnd_003-Ex1-3H-lcwgs-1-1.clmp.fp2_r1_screen	19732.0	11251.0	3059.0	1919.0	997.0	444.0	232.0	81.0	2.0	0.0	62850.0	2322714.0
Sin-APnd_003-Ex1-3H-lcwgs-1-1.clmp.fp2_r2_screen	19948.0	11160.0	3075.0	1887.0	963.0	472.0	244.0	69.0	2.0	0.0	66139.0	2319322.0
Sin-APnd_004-Ex1-4A-lcwgs-1-1.clmp.fp2_r1_screen	172867.0	187918.0	33674.0	16247.0	6331.0	3370.0	1452.0	631.0	9.0	0.0	773252.0	15028814.0
Sin-APnd_004-Ex1-4A-lcwgs-1-1.clmp.fp2_r2_screen	173798.0	186107.0	33850.0	16064.0	6303.0	3476.0	1465.0	590.0	17.0	0.0	813020.0	14989875.0
Sin-APnd_005-Ex1-4B-lcwgs-1-1.clmp.fp2_r1_screen	180925.0	111416.0	31219.0	17339.0	8169.0	3413.0	1717.0	743.0	14.0	0.0	670058.0	22112976.0
Sin-APnd_005-Ex1-4B-lcwgs-1-1.clmp.fp2_r2_screen	180784.0	110302.0	31119.0	17497.0	8012.0	3349.0	1724.0	742.0	12.0	0.0	720062.0	22064386.0
Sin-APnd_006-Ex1-4C-lcwgs-1-1.clmp.fp2_r1_screen	258133.0	243548.0	59400.0	26786.0	11993.0	4686.0	2453.0	1040.0	28.0	1.0	925898.0	31034302.0
Sin-APnd_006-Ex1-4C-lcwgs-1-1.clmp.fp2_r2_screen	259141.0	239711.0	58976.0	26686.0	11664.0	4673.0	2423.0	1005.0	27.0	0.0	1004567.0	30959395.0
Sin-APnd_007-Ex1-4D-lcwgs-1-1.clmp.fp2_r1_screen	249350.0	96461.0	28035.0	22428.0	10942.0	4410.0	2311.0	756.0	16.0	1.0	858505.0	21261556.0
Sin-APnd_007-Ex1-4D-lcwgs-1-1.clmp.fp2_r2_screen	250259.0	95851.0	27597.0	22372.0	10889.0	4460.0	2294.0	756.0	17.0	0.0	899283.0	21220993.0
Sin-APnd_008-Ex1-4E-lcwgs-1-1.clmp.fp2_r1_screen	157923.0	188908.0	25892.0	15303.0	6956.0	2921.0	1467.0	623.0	23.0	0.0	630289.0	12670547.0
