Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
Sin-APnd_001-Ex1-6G-lcwgs-1-2.clmp.r1r2_fastp	94.7116913356347	4.799504687201541	0.4294027169274887	0.05050240731920261	0.007226775458135054	0.001341440673274742	0.0002645094285330477	3.7787061219006816e-05	1.8893530609503408e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.446765304751704e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sin-APnd_002-Ex1-3G-lcwgs-1-2.clmp.r1r2_fastp	98.97806661212778	0.9983040539840846	0.022711461356625016	0.0008472669521642492	4.7070386231347186e-05	0.0	0.0	0.0	0.0	0.0	1.1767596557836796e-05	0.0	1.1767596557836796e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sin-APnd_003-Ex1-3H-lcwgs-1-2.clmp.r1r2_fastp	96.38122252010002	3.32579002472716	0.2560164884931594	0.03149699321082985	0.004540800487327944	0.0007696272012420244	0.00013468476021735428	9.620340015525305e-06	9.620340015525305e-06	9.620340015525305e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sin-APnd_004-Ex1-4A-lcwgs-1-2.clmp.r1r2_fastp	97.33449554257474	2.510574388748748	0.14095526673214256	0.012279777973809807	0.0014023579612593127	0.0002194995069797185	4.877766821771522e-05	2.438883410885761e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sin-APnd_005-Ex1-4B-lcwgs-1-2.clmp.r1r2_fastp	97.79686695723585	2.1108215881477657	0.08630730260230432	0.0054132672126886985	0.00046698960109462363	7.624320017871407e-05	1.9060800044678517e-05	0.0	0.0	0.0	0.0	1.9060800044678517e-05	0.0	0.0	9.530400022339258e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sin-APnd_006-Ex1-4C-lcwgs-1-2.clmp.r1r2_fastp	94.53550275595342	4.673968480658506	0.6066646717304183	0.13121210177387604	0.035307549596361884	0.011765565251293046	0.003787991026477189	0.0011722149881362074	0.00036903064441325047	0.00016280763724113993	4.3415369930970646e-05	2.1707684965485323e-05	2.1707684965485323e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sin-APnd_007-Ex1-4D-lcwgs-1-2.clmp.r1r2_fastp	98.27433702216204	1.6674367619791057	0.05490666176774709	0.0030102788652238356	0.00023711100650735696	2.061834839194408e-05	3.092752258791612e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.030917419597204e-05	0.0	0.0	0.0	1.030917419597204e-05
Sin-APnd_008-Ex1-4E-lcwgs-1-2.clmp.r1r2_fastp	94.62636154773179	4.823746711388199	0.47657632584108667	0.06133829948160828	0.009740551221137999	0.001682648869745942	0.0004075981734167189	8.360988172650643e-05	2.0902470431626607e-05	2.0902470431626607e-05	0.0	1.0451235215813304e-05	0.0	1.0451235215813304e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sin-APnd_009-Ex1-4F-lcwgs-1-2.clmp.r1r2_fastp	97.32549275266017	2.5337304898932795	0.1295485213103655	0.010014372770114684	0.0009836479000948594	0.00015696509044066905	4.1857357450845076e-05	0.0	2.0928678725422538e-05	0.0	0.0	0.0	1.0464339362711269e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sin-APnd_010-Ex1-4G-lcwgs-1-2.clmp.r1r2_fastp	97.20136872288612	2.6377266762314835	0.14743507363544264	0.011989804915840287	0.0012871557263835303	0.0001418911824359797	3.040525337913851e-05	2.0270168919425672e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
