Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Sin-APnd_001-Ex1-6G-lcwgs-1-2.clmp.r1	Sin-APnd_001-Ex1-6G-lcwgs-1-2.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	63418188.0	0.0	33-150	38.0	92.48298787374895	85.46364834643336	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
Sin-APnd_001-Ex1-6G-lcwgs-1-2.clmp.r2	Sin-APnd_001-Ex1-6G-lcwgs-1-2.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	63418188.0	0.0	33-150	38.0	92.02297388195531	85.64659119557311	pass	warn	fail	pass	pass	warn	pass	warn	pass	pass	pass
Sin-APnd_002-Ex1-3G-lcwgs-1-2.clmp.r1	Sin-APnd_002-Ex1-3G-lcwgs-1-2.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29958091.0	0.0	33-150	39.0	97.40813828741133	83.30165133018656	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
Sin-APnd_002-Ex1-3G-lcwgs-1-2.clmp.r2	Sin-APnd_002-Ex1-3G-lcwgs-1-2.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29958091.0	0.0	33-150	39.0	97.40326252552784	83.4011223211786	pass	warn	fail	pass	pass	warn	pass	warn	pass	pass	pass
Sin-APnd_003-Ex1-3H-lcwgs-1-2.clmp.r1	Sin-APnd_003-Ex1-3H-lcwgs-1-2.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58482398.0	0.0	33-150	37.0	94.70377842863586	89.61445931132988	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
Sin-APnd_003-Ex1-3H-lcwgs-1-2.clmp.r2	Sin-APnd_003-Ex1-3H-lcwgs-1-2.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58482398.0	0.0	33-150	37.0	94.55162304413112	89.73609112266566	pass	warn	fail	pass	pass	warn	pass	warn	pass	pass	pass
Sin-APnd_004-Ex1-4A-lcwgs-1-2.clmp.r1	Sin-APnd_004-Ex1-4A-lcwgs-1-2.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35233027.0	0.0	33-150	39.0	92.81402629859676	83.37145778022422	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
Sin-APnd_004-Ex1-4A-lcwgs-1-2.clmp.r2	Sin-APnd_004-Ex1-4A-lcwgs-1-2.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35233027.0	0.0	33-150	39.0	92.61520542747952	83.53298017794498	pass	warn	fail	pass	pass	warn	pass	warn	pass	pass	pass
Sin-APnd_005-Ex1-4B-lcwgs-1-2.clmp.r1	Sin-APnd_005-Ex1-4B-lcwgs-1-2.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51566424.0	0.0	33-150	40.0	95.96483494881274	81.04471847805463	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
Sin-APnd_005-Ex1-4B-lcwgs-1-2.clmp.r2	Sin-APnd_005-Ex1-4B-lcwgs-1-2.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51566424.0	0.0	33-150	40.0	95.75295262347056	81.18876938218558	pass	warn	fail	pass	pass	warn	pass	warn	pass	pass	pass
Sin-APnd_006-Ex1-4C-lcwgs-1-2.clmp.r1	Sin-APnd_006-Ex1-4C-lcwgs-1-2.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38464505.0	0.0	33-150	40.0	94.35108655900898	85.89218272794619	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
Sin-APnd_006-Ex1-4C-lcwgs-1-2.clmp.r2	Sin-APnd_006-Ex1-4C-lcwgs-1-2.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38464505.0	0.0	33-150	40.0	94.03022147356721	86.03074260282304	pass	warn	fail	pass	pass	warn	pass	warn	pass	pass	pass
Sin-APnd_007-Ex1-4D-lcwgs-1-2.clmp.r1	Sin-APnd_007-Ex1-4D-lcwgs-1-2.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46158967.0	0.0	33-150	38.0	96.16136001419345	83.93754489783102	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
Sin-APnd_007-Ex1-4D-lcwgs-1-2.clmp.r2	Sin-APnd_007-Ex1-4D-lcwgs-1-2.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46158967.0	0.0	33-150	38.0	96.05047687432312	84.06504263841086	pass	warn	fail	pass	pass	warn	pass	warn	pass	pass	pass
Sin-APnd_008-Ex1-4E-lcwgs-1-2.clmp.r1	Sin-APnd_008-Ex1-4E-lcwgs-1-2.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46384808.0	0.0	33-150	39.0	92.42058310268459	86.05225018932923	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
