Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Sin-APnd_001-Ex1-6G-lcwgs-1-1.clmp.fp2_repr.R1	2.847202998402821	38.0	83.89654851706418	0.0	5945908.0
Sin-APnd_001-Ex1-6G-lcwgs-1-1.clmp.fp2_repr.R2	2.5555343345384074	38.0	83.7568415118431	9.090909090909092	5945908.0
Sin-APnd_002-Ex1-3G-lcwgs-1-1.clmp.fp2_repr.R1	2.733030271401404	39.0	82.99979910668641	9.090909090909092	35063387.0
Sin-APnd_002-Ex1-3G-lcwgs-1-1.clmp.fp2_repr.R2	2.629677418168896	39.0	82.8537400280241	9.090909090909092	35063387.0
Sin-APnd_003-Ex1-3H-lcwgs-1-1.clmp.fp2_repr.R1	1.9715857197860487	36.0	86.39004417060275	9.090909090909092	2298814.0
Sin-APnd_003-Ex1-3H-lcwgs-1-1.clmp.fp2_repr.R2	1.6661341218855483	36.0	86.2663821431399	9.090909090909092	2298814.0
Sin-APnd_004-Ex1-4A-lcwgs-1-1.clmp.fp2_repr.R1	6.699403735709794	38.0	83.21376215153212	0.0	14816753.0
Sin-APnd_004-Ex1-4A-lcwgs-1-1.clmp.fp2_repr.R2	6.00988182684118	38.0	83.04294004226162	9.090909090909092	14816753.0
Sin-APnd_005-Ex1-4B-lcwgs-1-1.clmp.fp2_repr.R1	2.7334546914899818	39.0	79.58370972264852	0.0	21877835.0
Sin-APnd_005-Ex1-4B-lcwgs-1-1.clmp.fp2_repr.R2	2.5484921504552887	39.0	79.44571942333417	9.090909090909092	21877835.0
Sin-APnd_006-Ex1-4C-lcwgs-1-1.clmp.fp2_repr.R1	5.524124585307632	39.0	84.5134609817275	0.0	30687212.0
Sin-APnd_006-Ex1-4C-lcwgs-1-1.clmp.fp2_repr.R2	5.384942978333385	39.0	84.28954073768578	9.090909090909092	30687212.0
Sin-APnd_007-Ex1-4D-lcwgs-1-1.clmp.fp2_repr.R1	2.652174626628124	37.0	82.25881983307832	0.0	20977863.0
Sin-APnd_007-Ex1-4D-lcwgs-1-1.clmp.fp2_repr.R2	2.525395623479355	37.0	82.12652961838867	9.090909090909092	20977863.0
Sin-APnd_008-Ex1-4E-lcwgs-1-1.clmp.fp2_repr.R1	4.62969319233612	38.0	83.60905748447647	0.0	12472028.0
Sin-APnd_008-Ex1-4E-lcwgs-1-1.clmp.fp2_repr.R2	4.28069289656267	38.0	83.46768256132844	0.0	12472028.0
Sin-APnd_009-Ex1-4F-lcwgs-1-1.clmp.fp2_repr.R1	2.620493480572563	40.0	81.97059911190924	0.0	13596358.0
Sin-APnd_009-Ex1-4F-lcwgs-1-1.clmp.fp2_repr.R2	2.3768220051258027	40.0	81.80672809586214	9.090909090909092	13596358.0
Sin-APnd_010-Ex1-4G-lcwgs-1-1.clmp.fp2_repr.R1	3.9848314690042343	39.0	83.93176135867698	0.0	18422392.0
Sin-APnd_010-Ex1-4G-lcwgs-1-1.clmp.fp2_repr.R2	3.6999421279444107	39.0	83.81865682806011	9.090909090909092	18422392.0
Sin-APnd_011-Ex1-4H-lcwgs-1-1.clmp.fp2_repr.R1	3.475924551281267	39.0	80.85145374368815	0.0	12254533.0
Sin-APnd_011-Ex1-4H-lcwgs-1-1.clmp.fp2_repr.R2	3.183084415157694	39.0	80.7066398205464	9.090909090909092	12254533.0
Sin-APnd_012-Ex1-5A-lcwgs-1-1.clmp.fp2_repr.R1	3.4274094070296997	37.0	83.31888332556855	9.090909090909092	2309572.0
Sin-APnd_012-Ex1-5A-lcwgs-1-1.clmp.fp2_repr.R2	2.9924423172265193	37.0	83.17539613400231	9.090909090909092	2309572.0
Sin-APnd_013-Ex1-5B-lcwgs-1-1.clmp.fp2_repr.R1	3.646753255500684	38.0	79.14011022165647	0.0	18967053.0
Sin-APnd_013-Ex1-5B-lcwgs-1-1.clmp.fp2_repr.R2	3.5195843823419324	38.0	79.01737191328563	9.090909090909092	18967053.0
Sin-APnd_014-Ex1-5C-lcwgs-1-1.clmp.fp2_repr.R1	3.2972878445666822	38.0	78.0379983691295	0.0	13134090.0
Sin-APnd_014-Ex1-5C-lcwgs-1-1.clmp.fp2_repr.R2	3.0282689367971045	38.0	77.88388719736199	9.090909090909092	13134090.0
Sin-APnd_015-Ex1-5D-lcwgs-1-1.clmp.fp2_repr.R1	2.782432638598891	38.0	80.22588682161218	0.0	8828523.0
Sin-APnd_015-Ex1-5D-lcwgs-1-1.clmp.fp2_repr.R2	2.4891403804360976	38.0	80.06511360960378	9.090909090909092	8828523.0
Sin-APnd_016-Ex1-5E-lcwgs-1-1.clmp.fp2_repr.R1	2.622883814955827	37.0	75.57511104363995	9.090909090909092	7693822.0
Sin-APnd_016-Ex1-5E-lcwgs-1-1.clmp.fp2_repr.R2	2.394105533377939	37.0	75.45058177847109	9.090909090909092	7693822.0
Sin-APnd_017-Ex1-5F-lcwgs-1-1.clmp.fp2_repr.R1	2.9579128531746903	38.0	78.65953270313622	0.0	9654334.0
Sin-APnd_017-Ex1-5F-lcwgs-1-1.clmp.fp2_repr.R2	2.768656746436278	38.0	78.51473100060554	9.090909090909092	9654334.0
Sin-APnd_018-Ex1-5G-lcwgs-1-1.clmp.fp2_repr.R1	2.5034830594145063	38.0	79.71375868950014	0.0	17420162.0
Sin-APnd_018-Ex1-5G-lcwgs-1-1.clmp.fp2_repr.R2	2.384943454144704	38.0	79.59393971192691	9.090909090909092	17420162.0
Sin-APnd_019-Ex1-5H-lcwgs-1-1.clmp.fp2_repr.R1	4.00222929397475	38.0	80.77999437301162	0.0	12891443.0
Sin-APnd_019-Ex1-5H-lcwgs-1-1.clmp.fp2_repr.R2	3.7942830567772745	38.0	80.64600277874246	9.090909090909092	12891443.0
Sin-APnd_020-Ex1-6A-lcwgs-1-1.clmp.fp2_repr.R1	6.690149901011068	38.0	80.3718264878926	0.0	12080425.0
Sin-APnd_020-Ex1-6A-lcwgs-1-1.clmp.fp2_repr.R2	6.15008750071874	38.0	80.16674007743933	9.090909090909092	12080425.0
Sin-APnd_021-Ex1-6B-lcwgs-1-1.clmp.fp2_repr.R1	6.7058250754542	39.0	85.54500279219563	0.0	15564812.0
Sin-APnd_021-Ex1-6B-lcwgs-1-1.clmp.fp2_repr.R2	6.255145377478769	39.0	85.39676643701189	9.090909090909092	15564812.0
Sin-APnd_022-Ex1-6C-lcwgs-1-1.clmp.fp2_repr.R1	4.631420260512243	38.0	84.52365827726668	0.0	8034186.0
Sin-APnd_022-Ex1-6C-lcwgs-1-1.clmp.fp2_repr.R2	4.202384580919215	38.0	84.35112306336946	9.090909090909092	8034186.0
