Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
Sin-APnd_001-Ex1-6G-lcwgs-1-1	37.9084	38.6608	38.753	38.7964	38.7868	38.7257	38.7185	38.7966	38.9291	38.9139	38.9583	38.9363	39.0964	39.1022	39.1687	39.317	39.3466	39.2976	39.2116	39.2759	39.3395	39.3153	39.3111	39.3097	39.2908	38.8342	38.8251	38.8723	38.8838	38.8514	38.8686	38.9621	38.9434	38.9867	39.0074	39.0021	38.9916	39.0107	39.021	39.0511	39.0499	39.0565	39.0409	39.0711	38.9912	38.8769	39.0844	39.0289	39.0636	39.0201	39.0852	38.9971	38.8979	39.0318	38.9895	38.9329	38.848	38.933	38.9757	38.9507	38.9258	38.97	38.9559	38.9898	38.9222	39.0211	39.0366	38.9794	39.0026	38.9895	39.048	39.0725	39.1057	39.0629	39.0731	39.0366	39.048	39.0134	39.0334	38.9878	39.0123	38.9972	39.0151	38.9831	39.001	38.987	39.005	38.9865	38.9882	38.9513	38.9849	38.9543	38.9618	38.9321	38.9486	38.8956	38.9109	38.8495	38.829	38.7849	38.7499	38.6896	38.6298	38.5226	38.4866	38.3716	38.2887	38.1775	38.0346	37.9585	37.8065	37.6376	37.4658	37.2441	37.0767	36.801	36.5784	36.2708	35.9885	35.6081	35.2933	34.9025	34.5978	34.1972	33.7469	33.343	33.0011	32.6091	32.2409	31.9042	31.4917	31.0225	30.6641	30.3413	30.0037	29.7255	29.3129	29.0255	28.6153	28.3694	27.9905	27.7119	27.4767	27.1877	26.8612	26.4235	26.2	25.9969	26.5425	29.4949
Sin-APnd_002-Ex1-3G-lcwgs-1-1	38.02	38.748	38.8579	38.9027	38.8963	38.839	38.8543	38.9277	39.0533	39.0386	39.086	39.063	39.2179	39.2181	39.2831	39.417	39.4427	39.3963	39.3248	39.3815	39.4407	39.4184	39.4165	39.4167	39.3966	39.0366	39.031	39.0685	39.0778	39.0504	39.0705	39.1532	39.1357	39.1709	39.1882	39.1874	39.1815	39.1946	39.2007	39.2281	39.2274	39.2343	39.2198	39.2403	39.1743	39.0698	39.2523	39.2069	39.2323	39.1946	39.2537	39.1752	39.0827	39.2052	39.1686	39.1162	39.0437	39.1219	39.1557	39.1349	39.1085	39.1497	39.1375	39.1659	39.1057	39.1956	39.2113	39.159	39.1789	39.1639	39.216	39.2359	39.2638	39.2297	39.2345	39.2043	39.2126	39.1846	39.2013	39.1648	39.1848	39.1683	39.1807	39.1568	39.1707	39.1605	39.1803	39.16	39.164	39.1364	39.1574	39.1347	39.1423	39.1081	39.1283	39.084	39.0945	39.0408	39.0239	38.9775	38.9471	38.9024	38.8457	38.7525	38.7179	38.6176	38.54	38.4382	38.3021	38.2323	38.0907	37.9399	37.7815	37.556	37.3859	37.1311	36.9094	36.5903	36.303	35.9275	35.6133	35.2293	34.9142	34.516	34.0958	33.6708	33.2988	32.9108	32.5219	32.1714	31.745	31.312	30.9556	30.6182	30.2695	30.02	29.5777	29.3167	28.8962	28.6457	28.2368	27.973	27.7284	27.4539	27.1169	26.6857	26.4217	26.2617	26.7248	29.6111
Sin-APnd_003-Ex1-3H-lcwgs-1-1	38.0272	38.7326	38.8391	38.8861	38.8805	38.8256	38.8323	38.9092	39.0412	39.0279	39.0772	39.058	39.2092	39.2129	39.273	39.4084	39.4362	39.3866	39.3202	39.3721	39.431	39.4159	39.4068	39.4101	39.3916	39.0179	39.0129	39.0483	39.0572	39.0284	39.0494	39.1315	39.1145	39.1495	39.1705	39.1682	39.1623	39.1732	39.1835	39.2084	39.2097	39.212	39.2003	39.2235	39.1581	39.0414	39.2375	39.1879	39.2174	39.1809	39.2413	39.1688	39.0758	39.1931	39.1541	39.1091	39.0289	39.1034	39.1436	39.1181	39.0894	39.1316	39.1149	39.1473	39.0882	39.1803	39.1969	39.1428	39.159	39.1425	39.191	39.2125	39.2408	39.2084	39.2193	39.1866	39.1937	39.16	39.1842	39.1466	39.1598	39.145	39.1634	39.1325	39.1532	39.1389	39.1548	39.1391	39.1424	39.1134	39.1406	39.1123	39.1274	39.0859	39.1135	39.0625	39.0803	39.0279	39.0009	38.9602	38.9304	38.8786	38.825	38.7221	38.6891	38.5957	38.5075	38.396	38.2568	38.1882	38.0352	37.8888	37.7335	37.5026	37.3243	37.0624	36.8328	36.4978	36.1859	35.7979	35.4577	35.0965	34.7931	34.3898	33.9675	33.5442	33.1649	32.7837	32.3799	32.0283	31.5877	31.131	30.7893	30.525	30.1285	29.8384	29.4088	29.1861	28.758	28.4975	28.1003	27.8291	27.5752	27.3304	26.9934	26.5951	26.3502	26.129	26.6322	29.5779
Sin-APnd_004-Ex1-4A-lcwgs-1-1	37.8955	38.6815	38.7761	38.8359	38.8239	38.7635	38.7578	38.8366	38.9746	38.9641	38.9991	38.9776	39.1375	39.1479	39.2104	39.3531	39.3772	39.3259	39.2434	39.3047	39.3687	39.3457	39.3486	39.3469	39.3259	38.9058	38.8954	38.934	38.9476	38.9101	38.9317	39.0174	39.0018	39.0445	39.0611	39.0588	39.0409	39.0556	39.0669	39.0943	39.0901	39.0961	39.0791	39.1113	39.0282	38.9193	39.1178	39.0631	39.0915	39.0465	39.1093	39.0216	38.9202	39.056	39.0146	38.958	38.8708	38.949	38.9907	38.9627	38.9336	38.9739	38.9569	38.9867	38.916	39.0245	39.039	38.9781	39.002	38.9812	39.0403	39.063	39.0935	39.0457	39.0549	39.0108	39.0177	38.9836	39.0082	38.9612	38.982	38.961	38.9765	38.9455	38.962	38.9476	38.9717	38.9461	38.9477	38.9044	38.9357	38.9053	38.912	38.8737	38.8964	38.8346	38.8531	38.7827	38.7675	38.7081	38.6807	38.6123	38.5436	38.4357	38.3885	38.2756	38.1952	38.0776	37.9372	37.8501	37.704	37.5365	37.3653	37.1365	36.9596	36.6982	36.4996	36.1949	35.9014	35.5316	35.2054	34.8364	34.5063	34.1337	33.6901	33.3031	32.9829	32.632	32.2537	31.9039	31.4862	31.039	30.7104	30.4206	30.1056	29.8471	29.4289	29.1525	28.7614	28.5183	28.0934	27.845	27.6145	27.3891	27.064	26.6235	26.4055	26.2975	26.8129	29.7673
Sin-APnd_005-Ex1-4B-lcwgs-1-1	37.8873	38.6563	38.7595	38.7958	38.7942	38.7381	38.7517	38.825	38.9605	38.9356	38.9878	38.9477	39.1226	39.1125	39.1911	39.3242	39.3615	39.3092	39.2175	39.295	39.3597	39.3357	39.3307	39.3178	39.3061	38.8574	38.8514	38.9007	38.9104	38.8752	38.8892	38.9866	38.9634	39.0128	39.0287	39.0163	39.0117	39.0277	39.0385	39.0725	39.0619	39.0666	39.0508	39.0713	39.001	38.899	39.0927	39.0364	39.0681	39.0241	39.0868	38.9966	38.8918	39.0327	38.9883	38.9263	38.8479	38.9342	38.9714	38.9498	38.9204	38.9626	38.9479	38.9798	38.9145	39.0164	39.0329	38.975	38.9961	38.9814	39.0398	39.0633	39.0947	39.0535	39.0634	39.0244	39.0314	39.0003	39.0195	38.9759	38.999	38.983	38.994	38.9639	38.9821	38.9706	38.9914	38.9672	38.9703	38.9373	38.9614	38.9358	38.9439	38.9065	38.9283	38.8778	38.8925	38.8309	38.8172	38.7618	38.7351	38.6803	38.6239	38.5256	38.4895	38.3833	38.3096	38.2052	38.0727	38.0016	37.8658	37.7134	37.5557	37.3383	37.1783	36.9268	36.7188	36.4137	36.1291	35.7691	35.4516	35.0775	34.7635	34.3874	33.9573	33.5322	33.16	32.7892	32.4035	32.0279	31.6037	31.1545	30.7894	30.4567	30.0878	29.8058	29.3672	29.0777	28.6818	28.4163	28.0018	27.7191	27.4391	27.1624	26.8123	26.3892	26.193	26.0001	26.4391	29.4099
Sin-APnd_006-Ex1-4C-lcwgs-1-1	37.9346	38.6814	38.7888	38.8291	38.8216	38.7632	38.7763	38.8495	38.9794	38.9615	39.0127	38.988	39.1535	39.1507	39.2202	39.3602	39.3902	39.3407	39.2568	39.3236	39.3859	39.3629	39.3588	39.3558	39.3362	38.9262	38.9198	38.9617	38.9699	38.9376	38.9555	39.0491	39.03	39.0699	39.0882	39.0856	39.0787	39.0905	39.0989	39.1293	39.124	39.1292	39.1153	39.143	39.0714	38.9625	39.1545	39.1048	39.1299	39.0906	39.1529	39.0636	38.9598	39.0963	39.061	39.002	38.9322	39.0195	39.054	39.033	39.0036	39.0453	39.0344	39.066	39.0027	39.0935	39.1109	39.0601	39.0813	39.0658	39.121	39.142	39.1715	39.135	39.1416	39.1098	39.1182	39.0885	39.1092	39.0699	39.0907	39.0722	39.0856	39.0583	39.0739	39.0647	39.0852	39.0641	39.0682	39.0397	39.0641	39.0397	39.0468	39.0111	39.0332	38.9845	39.0005	38.9426	38.9259	38.8751	38.8477	38.7981	38.7363	38.6357	38.6021	38.4973	38.4179	38.3154	38.1798	38.1077	37.9682	37.8194	37.6628	37.4499	37.287	37.0385	36.8265	36.5204	36.2451	35.8932	35.5829	35.2154	34.9176	34.5295	34.1184	33.7136	33.3482	32.975	32.5868	32.2502	31.8232	31.3913	31.036	30.7114	30.3545	30.1028	29.6801	29.402	29.005	28.7568	28.3499	28.076	27.7978	27.5092	27.1543	26.7386	26.4875	26.3216	26.7599	29.6964
Sin-APnd_007-Ex1-4D-lcwgs-1-1	37.8912	38.6688	38.774	38.8259	38.8161	38.7572	38.762	38.8377	38.9708	38.9563	39.0014	38.9791	39.1367	39.1405	39.2042	39.3465	39.3754	39.3248	39.241	39.3061	39.3698	39.3449	39.3413	39.3401	39.3193	38.8989	38.891	38.9308	38.9415	38.9064	38.9266	39.0168	38.9982	39.0396	39.0578	39.0538	39.0459	39.0579	39.0664	39.0946	39.0898	39.0931	39.0793	39.1121	39.0314	38.9178	39.1167	39.065	39.0916	39.0512	39.1117	39.023	38.9201	39.0539	39.015	38.9613	38.8811	38.9606	38.9961	38.9701	38.9406	38.9782	38.9655	38.9958	38.9301	39.0266	39.0443	38.989	39.0125	38.9948	39.0516	39.0711	39.1011	39.0583	39.0674	39.0308	39.0406	39.0076	39.0276	38.9848	39.0052	38.9871	38.9978	38.9714	38.9843	38.9728	38.9936	38.9706	38.9739	38.9406	38.9671	38.938	38.9491	38.9063	38.9268	38.8737	38.8865	38.8217	38.7973	38.7371	38.7043	38.6396	38.5683	38.4558	38.4025	38.2809	38.1902	38.0659	37.9122	37.8184	37.6558	37.4818	37.3099	37.0732	36.891	36.626	36.3984	36.0746	35.7875	35.4161	35.1005	34.7322	34.4239	34.0407	33.626	33.2251	32.863	32.493	32.1223	31.7758	31.3527	30.9304	30.5959	30.2752	29.934	29.6987	29.2774	29.0018	28.6071	28.3758	27.9631	27.6941	27.4504	27.1912	26.8913	26.4575	26.2619	26.1295	26.6597	29.6139
Sin-APnd_008-Ex1-4E-lcwgs-1-1	37.8886	38.6624	38.7573	38.8017	38.7983	38.7358	38.73	38.8061	38.9457	38.9312	38.9685	38.9419	39.103	39.1067	39.1751	39.3223	39.3521	39.3005	39.2124	39.2787	39.3449	39.319	39.3155	39.3119	39.2934	38.8415	38.8339	38.8767	38.89	38.8551	38.872	38.9666	38.9465	38.9916	39.0095	39.007	38.9936	39.0081	39.0184	39.0524	39.0446	39.0527	39.0344	39.0674	38.9829	38.869	39.0724	39.0198	39.0489	39.005	39.0707	38.9794	38.8721	39.0106	38.968	38.9126	38.8271	38.9113	38.9492	38.9251	38.8946	38.9335	38.9179	38.9494	38.8819	38.9828	38.9981	38.9395	38.9648	38.9451	39.0066	39.0288	39.059	39.0128	39.023	38.9821	38.9896	38.9556	38.9789	38.9297	38.9527	38.9314	38.9482	38.9166	38.9336	38.9198	38.945	38.9183	38.9198	38.8844	38.912	38.8845	38.8902	38.8532	38.874	38.8117	38.829	38.7611	38.7435	38.6804	38.6476	38.5836	38.5113	38.4034	38.3491	38.2291	38.1399	38.024	37.8694	37.7907	37.6403	37.4686	37.3052	37.0826	36.907	36.6513	36.44	36.1371	35.8623	35.5007	35.206	34.8508	34.5428	34.1742	33.7711	33.3717	33.0186	32.6779	32.3177	31.9658	31.5649	31.1402	30.795	30.4809	30.1405	29.9106	29.4771	29.2049	28.8209	28.5925	28.1617	27.8961	27.6452	27.3508	27.0488	26.6231	26.3836	26.2611	26.7495	29.7316
Sin-APnd_009-Ex1-4F-lcwgs-1-1	37.8988	38.6626	38.7578	38.7979	38.7926	38.7299	38.7392	38.8141	38.9457	38.9289	38.9749	38.9461	39.1133	39.1124	39.1809	39.3318	39.3572	39.3071	39.2206	39.2903	39.3539	39.3272	39.3239	39.3232	39.3003	38.8629	38.8559	38.9	38.9089	38.8763	38.8929	38.9903	38.9708	39.0122	39.0323	39.0293	39.0186	39.0345	39.0422	39.074	39.068	39.0742	39.0593	39.0889	39.011	38.9023	39.1016	39.0476	39.0725	39.0304	39.095	39.0035	38.8917	39.0385	39.0001	38.9375	38.8611	38.9513	38.9909	38.9666	38.9371	38.9805	38.9677	38.9994	38.9322	39.0286	39.048	38.9911	39.0174	39.0013	39.0591	39.0801	39.1084	39.0684	39.0783	39.0407	39.0541	39.0152	39.0385	38.9957	39.0184	38.9999	39.0118	38.9844	39.0003	38.9913	39.0109	38.9871	38.9909	38.9588	38.9882	38.9578	38.9644	38.9287	38.953	38.8959	38.9177	38.8468	38.835	38.782	38.7522	38.6935	38.6267	38.5247	38.4836	38.3739	38.2903	38.1841	38.0411	37.9656	37.8194	37.6637	37.5029	37.2868	37.1172	36.8624	36.6463	36.3379	36.0573	35.6927	35.3745	35.0022	34.6895	34.3057	33.8976	33.4942	33.118	32.7522	32.3526	32.0147	31.576	31.1402	30.7828	30.4649	30.1088	29.8436	29.4122	29.129	28.7014	28.4681	28.0306	27.752	27.5153	27.2335	26.9144	26.4693	26.2439	26.0662	26.5722	29.5563
Sin-APnd_010-Ex1-4G-lcwgs-1-1	37.9161	38.6779	38.7711	38.8135	38.806	38.7437	38.7386	38.8162	38.9498	38.9347	38.9728	38.9508	39.116	39.1204	39.1883	39.3362	39.3617	39.311	39.2235	39.289	39.3526	39.3298	39.3259	39.3246	39.3042	38.8657	38.8578	38.8989	38.9124	38.8776	38.8972	38.9899	38.9726	39.0137	39.0312	39.0286	39.0168	39.0319	39.0408	39.0743	39.0699	39.0736	39.0586	39.0907	39.0089	38.8972	39.098	39.0444	39.0737	39.0314	39.0967	39.0096	38.9066	39.0425	39.0024	38.9442	38.8602	38.9478	38.9871	38.9655	38.9359	38.9776	38.9653	38.9963	38.9298	39.0276	39.0438	38.9845	39.0095	38.9932	39.0539	39.0777	39.111	39.0661	39.0774	39.0383	39.0449	39.0139	39.0356	38.9898	39.0151	38.9947	39.0132	38.9803	38.9993	38.9857	39.0089	38.9868	38.9883	38.9518	38.9814	38.9554	38.9661	38.9261	38.9489	38.8938	38.9125	38.8488	38.8332	38.7771	38.7495	38.6898	38.6209	38.5176	38.4751	38.3587	38.2805	38.1622	38.0224	37.94	37.7892	37.6264	37.4651	37.232	37.0579	36.7876	36.5789	36.27	35.9803	35.602	35.2959	34.9194	34.5897	34.2082	33.7778	33.3636	33.0075	32.6391	32.2767	31.8935	31.4799	31.0337	30.6913	30.3816	30.0556	29.7743	29.329	29.0507	28.6402	28.372	27.9607	27.6877	27.4306	27.1845	26.8814	26.4154	26.1861	26.0347	26.5743	29.5382
