	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Sin-APnd_001-Ex1-6G-lcwgs-1-1.clmp.r1	16840.0	73010.0	125445.0	185470.0	251386.0	334737.0	427625.0	510781.0	555596.0	560954.0	531409.0	488317.0	437534.0	379418.0	315473.0	263298.0	214900.0	175245.0	139918.0	114802.0	90548.0	73396.0	58878.0	96153.0	113252.0
	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Sin-APnd_001-Ex1-6G-lcwgs-1-1.clmp.r2	16827.0	72853.0	125148.0	184724.0	250477.0	333497.0	425643.0	508451.0	553040.0	558344.0	529088.0	486619.0	436344.0	378255.0	314451.0	262213.0	214351.0	174817.0	139693.0	114678.0	90651.0	73680.0	59204.0	76495.0	154842.0
	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Sin-APnd_002-Ex1-3G-lcwgs-1-1.clmp.r1	150874.0	612627.0	928339.0	1225151.0	1516530.0	1905038.0	2396633.0	2883170.0	3174368.0	3226338.0	3065288.0	2818890.0	2538302.0	2201093.0	1817791.0	1492291.0	1209415.0	960856.0	766698.0	622835.0	496963.0	398578.0	313283.0	499133.0	595366.0
	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Sin-APnd_002-Ex1-3G-lcwgs-1-1.clmp.r2	150748.0	612107.0	926623.0	1222550.0	1513304.0	1900728.0	2390424.0	2874949.0	3166076.0	3218072.0	3057606.0	2812855.0	2534181.0	2197650.0	1814618.0	1489773.0	1207456.0	959638.0	766168.0	622233.0	496450.0	399099.0	313107.0	376572.0	792863.0
	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Sin-APnd_003-Ex1-3H-lcwgs-1-1.clmp.r1	4606.0	19975.0	34573.0	53017.0	73678.0	104508.0	142542.0	183442.0	209695.0	219262.0	211630.0	197364.0	180611.0	158112.0	132542.0	109852.0	89661.0	72537.0	57745.0	46968.0	37620.0	30087.0	23947.0	39011.0	46568.0
	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Sin-APnd_003-Ex1-3H-lcwgs-1-1.clmp.r2	4617.0	19955.0	34562.0	52989.0	73375.0	104153.0	142181.0	183088.0	209288.0	218782.0	211166.0	197054.0	180359.0	157892.0	132334.0	109715.0	89553.0	72425.0	57675.0	46893.0	37645.0	30088.0	23834.0	28282.0	61648.0
	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Sin-APnd_004-Ex1-4A-lcwgs-1-1.clmp.r1	73887.0	305103.0	472346.0	627423.0	755278.0	906013.0	1068616.0	1227651.0	1295234.0	1294394.0	1222060.0	1138648.0	1030014.0	907357.0	769171.0	665421.0	551866.0	454423.0	364727.0	309458.0	250049.0	210213.0	174477.0	331929.0	425793.0
	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Sin-APnd_004-Ex1-4A-lcwgs-1-1.clmp.r2	73853.0	304616.0	471369.0	625775.0	753440.0	903686.0	1064934.0	1222431.0	1289799.0	1289016.0	1217433.0	1134874.0	1027066.0	904871.0	767227.0	663272.0	549990.0	452999.0	363989.0	308551.0	249865.0	210527.0	174047.0	244420.0	563501.0
	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
Sin-APnd_005-Ex1-4B-lcwgs-1-1.clmp.r1	140166.0	575331.0	857951.0	1110300.0	1302341.0	1498216.0	1693966.0	1862702.0	1916488.0	1868638.0	1738444.0	1570576.0	1376758.0	1187484.0	991512.0	828164.0	670420.0	541810.0	429190.0	347320.0	274618.0	223453.0	180301.0	314975.0	385471.0
	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
